<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
EN.Bank-R,20111227,2100.00,2100.00,2100.00,2100.00,1301806800,619908,13,D,2169.00,2100.00
EN.Bank-R,20111226,2200.00,2200.00,2150.00,2169.00,6950755000,3205000,75,D,2200.00,2150.00
EN.Bank-R,20111225,2200.00,2200.00,2200.00,2200.00,2695000000,1225000,36,D,2300.00,2200.00
EN.Bank-R,20111224,2300.00,2300.00,2300.00,2300.00,4600000000,2000000,40,D,2300.00,2300.00
EN.Bank-R,20111221,2300.00,2300.00,2300.00,2300.00,2596700000,1129000,23,D,2322.00,2300.00
EN.Bank-R,20111220,2400.00,2400.00,2300.00,2322.00,13930000000,6000000,120,D,2450.00,2320.00
EN.Bank-R,20111219,2450.00,2450.00,2450.00,2450.00,2450122500,1000050,21,D,3267.00,2450.00
EN.Bank-R,20110927,3140.00,3277.00,3140.00,3267.00,10856484763,3323180,157,D,3035.00,3277.00
EN.Bank-R,20110926,2905.00,3109.00,2905.00,3035.00,512147616,168752,21,D,3049.00,3100.00
EN.Bank-R,20110925,3070.00,3071.00,2900.00,3049.00,1619855814,531352,42,D,2844.00,3071.00
EN.Bank-R,20110921,2750.00,2932.00,2750.00,2844.00,12900324052,4536598,104,D,2715.00,2932.00
EN.Bank-R,20110920,2680.00,2760.00,2680.00,2715.00,168347716,62013,8,D,2714.00,2760.00
EN.Bank-R,20110919,2600.00,2750.00,2600.00,2714.00,1562136400,575492,23,D,2678.00,2750.00
EN.Bank-R,20110918,2552.00,2700.00,2552.00,2678.00,257348220,96091,11,D,2528.00,2700.00
EN.Bank-R,20110917,2528.00,2529.00,2528.00,2528.00,38999928,15426,5,D,2527.00,2528.00
EN.Bank-R,20110914,2527.00,2527.00,2527.00,2527.00,18103428,7164,2,D,2570.00,2527.00
EN.Bank-R,20110913,2570.00,2570.00,2570.00,2570.00,229151480,89164,17,D,2601.00,2570.00
EN.Bank-R,20110912,2536.00,2655.00,2536.00,2601.00,897184118,344920,33,D,2577.00,2610.00
EN.Bank-R,20110911,2700.00,2700.00,2532.00,2577.00,1191414680,462308,31,D,2748.00,2600.00
EN.Bank-R,20110910,2750.00,2750.00,2700.00,2748.00,5102593500,1856945,30,D,2793.00,2700.00
EN.Bank-R,20110907,2791.00,2794.00,2791.00,2793.00,248929680,89118,7,D,2906.00,2791.00
EN.Bank-R,20110906,2760.00,2950.00,2760.00,2906.00,1138534972,391801,37,D,2831.00,2900.00
EN.Bank-R,20110905,2831.00,2831.00,2831.00,2831.00,1415500,500,1,D,2886.00,2831.00
EN.Bank-R,20110904,2840.00,2940.00,2840.00,2886.00,416225796,144208,19,D,3068.00,2930.00
EN.Bank-R,20110903,3073.00,3073.00,2832.00,3068.00,156787856,51108,4,D,3072.00,2832.00
EN.Bank-R,20110830,2999.00,3149.00,2999.00,3072.00,248448918,80869,18,D,2916.00,3149.00
EN.Bank-R,20110829,2850.00,2934.00,2850.00,2916.00,1200847338,411766,28,D,2717.00,2930.00
EN.Bank-R,20110828,2680.00,2800.00,2680.00,2717.00,1956025383,720049,31,D,2729.00,2800.00
EN.Bank-R,20110827,2611.00,2730.00,2600.00,2729.00,5011895531,1836847,49,D,2655.00,2605.00
EN.Bank-R,20110824,2655.00,2655.00,2655.00,2655.00,7965000,3000,1,D,2594.00,2655.00
EN.Bank-R,20110823,2600.00,2626.00,2578.00,2594.00,282454430,108887,26,D,2626.00,2585.00
EN.Bank-R,20110821,2660.00,2660.00,2620.00,2626.00,409637786,155993,26,D,2607.00,2620.00
EN.Bank-R,20110820,2580.00,2730.00,2580.00,2607.00,547207208,209907,16,D,2563.00,2680.00
EN.Bank-R,20110817,2479.00,2623.00,2479.00,2563.00,812645559,317079,32,D,2429.00,2623.00
EN.Bank-R,20110816,2430.00,2430.00,2373.00,2429.00,29067882,11965,6,D,2382.00,2430.00
EN.Bank-R,20110815,2300.00,2423.00,2300.00,2382.00,5889088852,2471910,80,D,2244.00,2423.00
EN.Bank-R,20110814,2221.00,2290.00,2221.00,2244.00,72402887,32267,8,D,2413.00,2290.00
EN.Bank-R,20110813,2385.00,2460.00,2385.00,2413.00,219198255,90847,36,D,2384.00,2400.00
EN.Bank-R,20110810,2300.00,2385.00,2300.00,2384.00,9550493735,4005815,61,D,2209.00,2385.00
EN.Bank-R,20110809,2459.00,2459.00,2181.00,2209.00,634429519,287221,45,D,2352.00,2284.00
EN.Bank-R,20110808,2250.00,2400.00,2250.00,2352.00,1319513643,561005,36,D,2315.00,2352.00
EN.Bank-R,20110807,2280.00,2322.00,2280.00,2315.00,506179862,218668,31,D,2150.00,2302.00
EN.Bank-R,20110806,2150.00,2150.00,2150.00,2150.00,5375000,2500,1,D,2207.00,2150.00
EN.Bank-R,20110803,2210.00,2210.00,2201.00,2207.00,26484080,11998,5,D,2201.00,2210.00
EN.Bank-R,20110802,2200.00,2230.00,2121.00,2201.00,3417822288,1552966,74,D,2400.00,2222.00
EN.Bank-R,20101225,2400.00,2400.00,2400.00,2400.00,2410864800,1004527,21,D,2400.00,2400.00
EN.Bank-R,20101222,2400.00,2400.00,2400.00,2400.00,2040000000,850000,33,D,2238.00,2400.00
EN.Bank-R,20101221,2220.00,2397.00,2220.00,2238.00,2238242257,1000000,26,D,2853.00,2260.00
EN.Bank-R,20101006,2802.00,2900.00,2625.00,2853.00,1291371431,452575,42,D,2852.00,2625.00
EN.Bank-R,20101005,2700.00,2914.00,2700.00,2852.00,83723296,29359,11,D,2699.00,2800.00
EN.Bank-R,20101003,2500.00,2700.00,2500.00,2699.00,1177867600,436404,33,D,2500.00,2700.00
EN.Bank-R,20101002,2498.00,2501.00,2498.00,2500.00,452086872,180814,10,D,2316.00,2501.00
EN.Bank-R,20100929,2103.00,2377.00,2103.00,2316.00,186712910,80626,12,D,2201.00,2377.00
EN.Bank-R,20100928,2200.00,2201.00,2200.00,2201.00,45914000,20865,8,D,2210.00,2200.00
EN.Bank-R,20100927,2234.00,2234.00,2151.00,2210.00,45416150,20550,7,D,2234.00,2151.00
EN.Bank-R,20100926,2234.00,2234.00,2234.00,2234.00,21642992,9688,1,D,2427.00,2234.00
EN.Bank-R,20100925,2339.00,2441.00,2301.00,2427.00,367940944,151592,15,D,2261.00,2441.00
EN.Bank-R,20100922,2260.00,2261.00,2260.00,2261.00,43067790,19049,5,D,2194.00,2261.00
EN.Bank-R,20100921,2200.00,2200.00,2100.00,2194.00,129853800,59179,10,D,2175.00,2200.00
EN.Bank-R,20100920,2100.00,2230.00,2100.00,2175.00,873404144,401526,42,D,2074.00,2200.00
EN.Bank-R,20100919,2030.00,2121.00,2030.00,2074.00,907269390,437395,28,D,2202.00,2110.00
EN.Bank-R,20100918,2202.00,2202.00,2202.00,2202.00,15411798,6999,3,D,2252.00,2202.00
EN.Bank-R,20100915,2150.00,2255.00,2150.00,2252.00,494213474,219471,21,D,2088.00,2255.00
EN.Bank-R,20100914,1910.00,2230.00,1910.00,2088.00,124475760,59621,10,D,2075.00,2120.00
EN.Bank-R,20100913,2075.00,2075.00,2074.00,2075.00,37697750,18170,5,D,2000.00,2075.00
EN.Bank-R,20100912,2000.00,2000.00,2000.00,2000.00,3024000,1512,2,D,1990.00,2000.00
EN.Bank-R,20100908,1990.00,1990.00,1990.00,1990.00,7910250,3975,2,D,2159.00,1990.00
EN.Bank-R,20100907,2158.00,2159.00,2158.00,2159.00,215897218,100000,5,D,2001.00,2159.00
EN.Bank-R,20100906,2001.00,2001.00,2001.00,2001.00,23457723,11723,5,D,1925.00,2001.00
EN.Bank-R,20100905,1900.00,2052.00,1756.00,1925.00,516978646,268560,19,D,1900.00,2051.00
EN.Bank-R,20100904,1800.00,1900.00,1800.00,1900.00,16387200,8625,3,D,1905.00,1900.00
EN.Bank-R,20100831,1859.00,1960.00,1850.00,1905.00,146552510,76915,22,D,1847.00,1920.00
EN.Bank-R,20100830,1800.00,1869.00,1800.00,1847.00,33507692,18145,8,D,1731.00,1859.00
EN.Bank-R,20100829,1641.00,1761.00,1640.00,1731.00,88885924,51343,12,D,1631.00,1761.00
EN.Bank-R,20100828,1620.00,1636.00,1620.00,1631.00,93169732,57125,6,D,1611.00,1636.00
EN.Bank-R,20100825,1606.00,1649.00,1606.00,1611.00,132316219,82114,8,D,1649.00,1649.00
EN.Bank-R,20100824,1567.00,1650.00,1567.00,1649.00,560356250,339750,17,D,1696.00,1650.00
EN.Bank-R,20100822,1696.00,1696.00,1696.00,1696.00,1696000,1000,1,D,1696.00,1696.00
EN.Bank-R,20100818,1698.00,1699.00,1625.00,1696.00,87669900,51700,3,D,1643.00,1625.00
EN.Bank-R,20100817,1670.00,1670.00,1601.00,1643.00,213189000,129761,18,D,1547.00,1670.00
