<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Esfahan.Steel.Co.,20221011,2272.00,2353.00,2272.00,2318.00,73778111132,31830419,1301,D,2272.00,2309.00
Esfahan.Steel.Co.,20221010,2272.00,2318.00,2257.00,2272.00,57507135019,25308478,1226,D,2266.00,2267.00
Esfahan.Steel.Co.,20221009,2320.00,2338.00,2245.00,2266.00,116108672803,51235999,1737,D,2363.00,2268.00
Esfahan.Steel.Co.,20221008,2333.00,2407.00,2325.00,2363.00,57673868371,24405351,1402,D,2383.00,2329.00
Esfahan.Steel.Co.,20221004,2403.00,2430.00,2353.00,2383.00,55827492383,23443283,1308,D,2410.00,2393.00
Esfahan.Steel.Co.,20221003,2311.00,2438.00,2307.00,2410.00,167243614506,69390680,2326,D,2322.00,2383.00
Esfahan.Steel.Co.,20221002,2305.00,2370.00,2303.00,2322.00,87584940130,37716759,1481,D,2392.00,2322.00
Esfahan.Steel.Co.,20221001,2510.00,2510.00,2385.00,2392.00,159266339933,66584060,1622,D,2510.00,2385.00
Esfahan.Steel.Co.,20220928,2500.00,2575.00,2492.00,2510.00,45145533418,17882668,1201,D,2472.00,2499.00
Esfahan.Steel.Co.,20220926,2410.00,2529.00,2406.00,2472.00,73565157081,29761652,1488,D,2456.00,2495.00
Esfahan.Steel.Co.,20220924,2554.00,2559.00,2387.00,2456.00,96344134166,39233333,2133,D,2499.00,2398.00
Esfahan.Steel.Co.,20220921,2455.00,2580.00,2454.00,2499.00,76315925963,30534641,1590,D,2529.00,2580.00
Esfahan.Steel.Co.,20220920,2515.00,2570.00,2493.00,2529.00,84913762135,33580180,1426,D,2536.00,2510.00
Esfahan.Steel.Co.,20220919,2570.00,2638.00,2501.00,2536.00,139643288728,55063288,2443,D,2623.00,2514.00
Esfahan.Steel.Co.,20220918,2717.00,2721.00,2607.00,2623.00,219581823492,83698697,2226,D,2744.00,2607.00
Esfahan.Steel.Co.,20220914,2810.00,2810.00,2712.00,2744.00,63683149371,23230333,1360,D,2793.00,2751.00
Esfahan.Steel.Co.,20220913,2740.00,2850.00,2740.00,2793.00,95444819702,34177994,1431,D,2770.00,2769.00
Esfahan.Steel.Co.,20220912,2700.00,2840.00,2689.00,2770.00,115826120022,41814678,1974,D,2736.00,2740.00
Esfahan.Steel.Co.,20220911,2670.00,2834.00,2670.00,2736.00,107980325327,39459794,2013,D,2711.00,2689.00
Esfahan.Steel.Co.,20220910,2729.00,2760.00,2642.00,2711.00,106975621444,39458879,1716,D,2765.00,2699.00
Esfahan.Steel.Co.,20220907,2830.00,2850.00,2724.00,2765.00,173731677346,62841290,2793,D,2866.00,2739.00
Esfahan.Steel.Co.,20220906,2899.00,2949.00,2830.00,2866.00,111054954152,38755291,1858,D,2952.00,2845.00
Esfahan.Steel.Co.,20220905,2975.00,3016.00,2885.00,2952.00,309506745823,104832739,3671,D,2893.00,2917.00
Esfahan.Steel.Co.,20220904,2871.00,2924.00,2870.00,2893.00,78927776174,27282531,919,D,2842.00,2915.00
Esfahan.Steel.Co.,20220903,2931.00,2931.00,2810.00,2842.00,203697265218,71679595,2420,D,2951.00,2850.00
Esfahan.Steel.Co.,20220831,2975.00,3001.00,2900.00,2951.00,231963896966,78600786,2787,D,2987.00,2936.00
Esfahan.Steel.Co.,20220830,2970.00,3050.00,2914.00,2987.00,631105743018,211307366,6743,D,2905.00,2951.00
Esfahan.Steel.Co.,20220829,2810.00,2912.00,2810.00,2905.00,558690245133,192312353,4302,D,2774.00,2912.00
Esfahan.Steel.Co.,20220828,2768.00,2820.00,2706.00,2774.00,129483432594,46681808,1961,D,2801.00,2795.00
Esfahan.Steel.Co.,20220827,2849.00,2870.00,2730.00,2801.00,138035628640,49284180,2330,D,2798.00,2738.00
Esfahan.Steel.Co.,20220824,2750.00,2851.00,2750.00,2798.00,193958041351,69321729,2375,D,2757.00,2851.00
Esfahan.Steel.Co.,20220823,2750.00,2810.00,2712.00,2757.00,191923835332,69611823,2890,D,2757.00,2761.00
Esfahan.Steel.Co.,20220822,2696.00,2825.00,2672.00,2757.00,326173894333,118304564,3521,D,2692.00,2724.00
Esfahan.Steel.Co.,20220821,2661.00,2779.00,2638.00,2692.00,277152862055,102949595,3714,D,2730.00,2653.00
Esfahan.Steel.Co.,20220820,2848.00,2848.00,2728.00,2730.00,508900625470,186390401,4318,D,2871.00,2728.00
Esfahan.Steel.Co.,20220817,2881.00,2990.00,2820.00,2871.00,410149105487,142838715,4821,D,2885.00,2833.00
Esfahan.Steel.Co.,20220816,2815.00,2905.00,2801.00,2885.00,762460096394,264314836,7589,D,2767.00,2824.00
Esfahan.Steel.Co.,20220815,2695.00,2787.00,2681.00,2767.00,827301417125,299036566,6564,D,2655.00,2787.00
Esfahan.Steel.Co.,20220814,2678.00,2678.00,2572.00,2655.00,754475831430,284170360,7298,D,2551.00,2678.00
Esfahan.Steel.Co.,20220813,2499.00,2562.00,2454.00,2551.00,178434852303,69936248,1717,D,2440.00,2562.00
Esfahan.Steel.Co.,20220810,2389.00,2454.00,2351.00,2440.00,358848520896,147048301,4920,D,2338.00,2454.00
Esfahan.Steel.Co.,20220809,2280.00,2360.00,2180.00,2338.00,257762633784,110230733,3271,D,2248.00,2360.00
Esfahan.Steel.Co.,20220806,2180.00,2256.00,2180.00,2248.00,176027314759,78295404,2223,D,2149.00,2256.00
Esfahan.Steel.Co.,20220803,2062.00,2179.00,2062.00,2149.00,204981186214,95388687,2699,D,2076.00,2179.00
Esfahan.Steel.Co.,20220802,2103.00,2103.00,2060.00,2076.00,39842849485,19214152,1457,D,2084.00,2081.00
Esfahan.Steel.Co.,20220801,2060.00,2110.00,2058.00,2084.00,79936166298,38356454,1908,D,2073.00,2082.00
Esfahan.Steel.Co.,20220731,2130.00,2133.00,2067.00,2073.00,158973030231,76682279,3002,D,2175.00,2067.00
Esfahan.Steel.Co.,20220730,2171.00,2220.00,2130.00,2175.00,94516598614,43446304,2018,D,2160.00,2140.00
Esfahan.Steel.Co.,20220727,2140.00,2179.00,2140.00,2160.00,62252557048,28822022,1544,D,2145.00,2170.00
Esfahan.Steel.Co.,20220726,2144.00,2199.00,2115.00,2145.00,89576789811,41752822,2297,D,2165.00,2131.00
Esfahan.Steel.Co.,20220725,2220.00,2230.00,2160.00,2165.00,105912098064,48911996,1959,D,2273.00,2160.00
Esfahan.Steel.Co.,20220724,2278.00,2332.00,2222.00,2273.00,133000771719,58510761,2804,D,2301.00,2230.00
Esfahan.Steel.Co.,20220723,2349.00,2349.00,2260.00,2301.00,245175836049,106537632,4857,D,2368.00,2290.00
Esfahan.Steel.Co.,20220720,2361.00,2380.00,2353.00,2368.00,40579677986,17170736,585,D,2379.00,2362.00
Esfahan.Steel.Co.,20220712,2450.00,2500.00,2410.00,2439.00,142796215779,58544952,2735,D,2506.00,2420.00
Esfahan.Steel.Co.,20220711,2529.00,2575.00,2450.00,2506.00,104034176392,41513334,2174,D,2512.00,2459.00
Esfahan.Steel.Co.,20220709,2549.00,2589.00,2477.00,2512.00,87037611886,34652765,1814,D,2562.00,2508.00
Esfahan.Steel.Co.,20220706,2500.00,2605.00,2500.00,2562.00,132355414391,51656191,2350,D,2536.00,2543.00
Esfahan.Steel.Co.,20220705,2471.00,2572.00,2471.00,2536.00,143222362836,56465771,2664,D,2478.00,2570.00
Esfahan.Steel.Co.,20220704,2459.00,2519.00,2453.00,2478.00,55814230549,22513686,1449,D,2467.00,2474.00
Esfahan.Steel.Co.,20220703,2460.00,2499.00,2426.00,2467.00,71918219567,29151184,1654,D,2469.00,2478.00
Esfahan.Steel.Co.,20220702,2500.00,2525.00,2435.00,2469.00,90266441214,36558707,2074,D,2525.00,2440.00
Esfahan.Steel.Co.,20220629,2500.00,2565.00,2492.00,2525.00,97587141837,38650465,1673,D,2543.00,2530.00
Esfahan.Steel.Co.,20220628,2550.00,2575.00,2527.00,2543.00,108737749424,42766212,1948,D,2540.00,2545.00
Esfahan.Steel.Co.,20220627,2501.00,2573.00,2501.00,2540.00,80218133848,31585702,2048,D,2493.00,2521.00
Esfahan.Steel.Co.,20220626,2500.00,2550.00,2468.00,2493.00,169040514442,67793420,1838,D,2513.00,2534.00
Esfahan.Steel.Co.,20220625,2500.00,2559.00,2485.00,2513.00,177612691265,70688152,3047,D,2547.00,2485.00
Esfahan.Steel.Co.,20220622,2550.00,2585.00,2500.00,2547.00,95537787201,37509214,1931,D,2564.00,2520.00
Esfahan.Steel.Co.,20220621,2586.00,2628.00,2535.00,2564.00,84973721529,33144863,2024,D,2612.00,2539.00
Esfahan.Steel.Co.,20220620,2648.00,2649.00,2585.00,2612.00,107810817586,41269759,1717,D,2606.00,2610.00
Esfahan.Steel.Co.,20220619,2600.00,2632.00,2580.00,2606.00,120788729551,46350513,2110,D,2606.00,2632.00
Esfahan.Steel.Co.,20220618,2680.00,2680.00,2581.00,2606.00,89440667651,34314575,2424,D,2691.00,2621.00
Esfahan.Steel.Co.,20220615,2704.00,2735.00,2656.00,2691.00,71348096122,26517326,1566,D,2747.00,2694.00
Esfahan.Steel.Co.,20220614,2740.00,2787.00,2692.00,2747.00,194795216664,70924751,3905,D,2705.00,2705.00
Esfahan.Steel.Co.,20220613,2601.00,2710.00,2601.00,2705.00,270108939217,99844703,2282,D,2581.00,2710.00
Esfahan.Steel.Co.,20220612,2584.00,2623.00,2513.00,2581.00,130496726463,50562027,2742,D,2567.00,2600.00
Esfahan.Steel.Co.,20220611,2550.00,2605.00,2520.00,2567.00,97504644749,37984102,2494,D,2601.00,2542.00
Esfahan.Steel.Co.,20220608,2600.00,2634.00,2597.00,2601.00,82881287175,31868844,1865,D,2598.00,2600.00
Esfahan.Steel.Co.,20220607,2573.00,2627.00,2568.00,2598.00,110036640284,42360185,2163,D,2596.00,2594.00
Esfahan.Steel.Co.,20220606,2740.00,2740.00,2570.00,2596.00,204330570353,78701126,3758,D,2705.00,2575.00
Esfahan.Steel.Co.,20220601,2680.00,2750.00,2640.00,2705.00,133206589312,49240454,3065,D,2661.00,2707.00
Esfahan.Steel.Co.,20220531,2600.00,2700.00,2600.00,2661.00,122814738203,46148878,2680,D,2657.00,2660.00
Esfahan.Steel.Co.,20220530,2730.00,2730.00,2600.00,2657.00,130102288334,48971417,2746,D,2657.00,2656.00
Esfahan.Steel.Co.,20220529,2680.00,2700.00,2602.00,2657.00,151571652240,57035960,3196,D,2733.00,2690.00
Esfahan.Steel.Co.,20220528,2810.00,2849.00,2695.00,2733.00,228309924626,83524998,4422,D,2794.00,2714.00
Esfahan.Steel.Co.,20220525,2800.00,2830.00,2760.00,2794.00,270243235468,96731752,4936,D,2805.00,2790.00
Esfahan.Steel.Co.,20220524,2826.00,2868.00,2760.00,2805.00,251653403625,89723697,4368,D,2846.00,2780.00
Esfahan.Steel.Co.,20220523,2960.00,2991.00,2800.00,2846.00,380446962098,133654363,5295,D,2946.00,2825.00
Esfahan.Steel.Co.,20220522,2873.00,2983.00,2873.00,2946.00,530948597578,180252571,7019,D,3015.00,2961.00
Esfahan.Steel.Co.,20220521,3080.00,3080.00,2977.00,3015.00,301104473041,99866741,4944,D,3109.00,2985.00
Esfahan.Steel.Co.,20220518,3170.00,3188.00,3070.00,3109.00,224509318021,72208133,4566,D,3215.00,3091.00
Esfahan.Steel.Co.,20220517,3259.00,3293.00,3126.00,3215.00,365197062365,113588656,5782,D,3195.00,3155.00
Esfahan.Steel.Co.,20220516,3135.00,3256.00,3074.00,3195.00,541494220240,169505887,8376,D,3104.00,3229.00
Esfahan.Steel.Co.,20220515,3140.00,3165.00,3052.00,3104.00,321881718494,103707484,4543,D,3092.00,3120.00
Esfahan.Steel.Co.,20220514,3136.00,3182.00,3031.00,3092.00,317047848489,102550256,5477,D,3113.00,3100.00
Esfahan.Steel.Co.,20220511,3050.00,3178.00,3050.00,3113.00,261346499527,83961962,4394,D,3031.00,3122.00
Esfahan.Steel.Co.,20220510,3030.00,3079.00,2987.00,3031.00,300605447041,99174615,4809,D,3102.00,3027.00
Esfahan.Steel.Co.,20220509,3110.00,3171.00,3031.00,3102.00,638199638030,205740593,9975,D,3020.00,3049.00
Esfahan.Steel.Co.,20220508,2929.00,3047.00,2890.00,3020.00,780628172934,258505248,8980,D,2902.00,3047.00
Esfahan.Steel.Co.,20220507,2920.00,2929.00,2863.00,2902.00,236431737072,81460718,3972,D,2885.00,2907.00
Esfahan.Steel.Co.,20220502,2880.00,2909.00,2858.00,2885.00,131576144624,45612204,2717,D,2875.00,2901.00
Esfahan.Steel.Co.,20220501,2834.00,2908.00,2834.00,2875.00,213475028171,74245368,3345,D,2863.00,2874.00
Esfahan.Steel.Co.,20220430,2877.00,2900.00,2830.00,2863.00,226733400494,79202946,3898,D,2876.00,2850.00
Esfahan.Steel.Co.,20220427,2944.00,2944.00,2840.00,2876.00,224554748889,78065637,4381,D,2934.00,2875.00
Esfahan.Steel.Co.,20220426,2950.00,2969.00,2902.00,2934.00,344670687245,117486089,4970,D,2886.00,2920.00
Esfahan.Steel.Co.,20220425,2800.00,2928.00,2755.00,2886.00,621414162669,215347306,5913,D,2789.00,2928.00
Esfahan.Steel.Co.,20220424,2835.00,2835.00,2759.00,2789.00,196975819496,70625780,3174,D,2786.00,2802.00
Esfahan.Steel.Co.,20220420,2770.00,2819.00,2762.00,2786.00,193982204059,69628469,3233,D,2763.00,2802.00
Esfahan.Steel.Co.,20220419,2755.00,2796.00,2715.00,2763.00,160073809991,57928451,3017,D,2778.00,2755.00
Esfahan.Steel.Co.,20220418,2703.00,2834.00,2703.00,2778.00,235113563259,84632303,4694,D,2734.00,2740.00
Esfahan.Steel.Co.,20220417,2735.00,2772.00,2690.00,2734.00,207815278866,76016451,3387,D,2745.00,2745.00
Esfahan.Steel.Co.,20220416,2775.00,2810.00,2715.00,2745.00,179928535888,65541588,4106,D,2766.00,2732.00
Esfahan.Steel.Co.,20220413,2672.00,2820.00,2672.00,2766.00,148634138457,53744446,2894,D,2802.00,2774.00
Esfahan.Steel.Co.,20220412,2799.00,2878.00,2799.00,2802.00,373819033894,133431490,2813,D,2946.00,2799.00
Esfahan.Steel.Co.,20220411,2942.00,2983.00,2900.00,2946.00,190098881563,64533520,3221,D,2948.00,2950.00
Esfahan.Steel.Co.,20220410,2900.00,2965.00,2880.00,2948.00,487650030266,165407549,4899,D,2824.00,2936.00
Esfahan.Steel.Co.,20220409,2750.00,2877.00,2723.00,2824.00,226744001057,80290155,3200,D,2817.00,2873.00
Esfahan.Steel.Co.,20220406,2879.00,2910.00,2752.00,2817.00,237417670049,84290351,3666,D,2885.00,2762.00
Esfahan.Steel.Co.,20220405,2830.00,2928.00,2820.00,2885.00,284984724861,98789256,3905,D,2880.00,2881.00
Esfahan.Steel.Co.,20220404,3001.00,3001.00,2781.00,2880.00,480999754876,166995735,6317,D,2859.00,2797.00
Esfahan.Steel.Co.,20220403,2750.00,2871.00,2750.00,2859.00,332212416012,116194320,2593,D,2735.00,2871.00
Esfahan.Steel.Co.,20220330,2635.00,2795.00,2635.00,2735.00,190279278928,69574232,2824,D,2694.00,2749.00
Esfahan.Steel.Co.,20220329,2763.00,2763.00,2650.00,2694.00,170462874057,63270755,3100,D,2712.00,2665.00
Esfahan.Steel.Co.,20220328,2640.00,2770.00,2576.00,2712.00,388468981340,143264705,4987,D,2639.00,2745.00
Esfahan.Steel.Co.,20220327,2650.00,2682.00,2600.00,2639.00,155090219177,58772141,2996,D,2614.00,2619.00
Esfahan.Steel.Co.,20220326,2571.00,2647.00,2510.00,2614.00,271613738420,103904504,4032,D,2521.00,2647.00
Esfahan.Steel.Co.,20220319,2510.00,2568.00,2474.00,2521.00,151295149949,60009537,2517,D,2449.00,2542.00
Esfahan.Steel.Co.,20220316,2410.00,2492.00,2400.00,2449.00,88613562638,36185158,1933,D,2400.00,2473.00
Esfahan.Steel.Co.,20220315,2430.00,2430.00,2387.00,2400.00,83283230449,34702275,1643,D,2404.00,2395.00
Esfahan.Steel.Co.,20220314,2428.00,2445.00,2380.00,2404.00,73354653167,30518025,1618,D,2406.00,2400.00
