<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
GhadirIranian.Iron,20221011,15150.00,15840.00,15150.00,15600.00,1990899930,127606,44,D,15400.00,15690.00
GhadirIranian.Iron,20221010,14850.00,15790.00,14630.00,15400.00,11526688920,748601,155,D,15380.00,15600.00
GhadirIranian.Iron,20221009,15490.00,16300.00,14700.00,15380.00,3710787060,241336,123,D,15280.00,15240.00
GhadirIranian.Iron,20221008,15820.00,15820.00,15000.00,15280.00,11086533230,725675,138,D,15850.00,15150.00
GhadirIranian.Iron,20221004,16000.00,16600.00,15800.00,15850.00,2287887350,144383,63,D,16170.00,15820.00
GhadirIranian.Iron,20221003,16150.00,16260.00,16000.00,16170.00,3446437270,213092,71,D,16520.00,16230.00
GhadirIranian.Iron,20221002,16950.00,16950.00,16400.00,16520.00,4505087180,272707,98,D,16590.00,16420.00
GhadirIranian.Iron,20221001,16680.00,16860.00,16500.00,16590.00,13254349240,798747,104,D,16850.00,16790.00
GhadirIranian.Iron,20220928,16860.00,16990.00,16800.00,16850.00,40704532940,2415427,170,D,16860.00,16860.00
GhadirIranian.Iron,20220926,16890.00,17000.00,16490.00,16860.00,45344701200,2688793,170,D,16650.00,16860.00
GhadirIranian.Iron,20220924,17390.00,17390.00,16300.00,16650.00,23828263330,1431462,151,D,16720.00,16500.00
GhadirIranian.Iron,20220921,16570.00,16970.00,16570.00,16720.00,26981469330,1614167,111,D,16730.00,16570.00
GhadirIranian.Iron,20220920,16880.00,17000.00,16450.00,16730.00,28652639140,1712708,113,D,16760.00,16780.00
GhadirIranian.Iron,20220919,16640.00,16900.00,16630.00,16760.00,17761921530,1060013,128,D,16630.00,16800.00
GhadirIranian.Iron,20220918,16900.00,16900.00,16490.00,16630.00,18166002640,1092216,106,D,16650.00,16750.00
GhadirIranian.Iron,20220914,16990.00,17000.00,16450.00,16650.00,3582974290,215206,77,D,16610.00,16500.00
GhadirIranian.Iron,20220913,16780.00,16990.00,16200.00,16610.00,6378120930,383950,58,D,16780.00,16800.00
GhadirIranian.Iron,20220912,17000.00,17100.00,16400.00,16780.00,27349887290,1629541,158,D,17010.00,16880.00
GhadirIranian.Iron,20220911,17020.00,17120.00,16670.00,17010.00,15086907140,887099,156,D,17000.00,17000.00
GhadirIranian.Iron,20220910,17020.00,17200.00,16800.00,17000.00,30785001610,1811372,203,D,17000.00,17090.00
GhadirIranian.Iron,20220907,17180.00,17180.00,16890.00,17000.00,29446171720,1731761,238,D,16870.00,17050.00
GhadirIranian.Iron,20220906,16930.00,16980.00,16600.00,16870.00,59142402800,3506342,342,D,16540.00,16900.00
GhadirIranian.Iron,20220905,16550.00,16890.00,16440.00,16540.00,69251093700,4186948,398,D,16430.00,16580.00
GhadirIranian.Iron,20220904,15970.00,16530.00,15800.00,16430.00,265286489700,16148734,683,D,16140.00,16450.00
GhadirIranian.Iron,20220903,16420.00,16500.00,15920.00,16140.00,40624756170,2516722,271,D,16420.00,16130.00
GhadirIranian.Iron,20220831,16520.00,16750.00,16300.00,16420.00,33124132840,2017189,257,D,16770.00,16750.00
GhadirIranian.Iron,20220830,16800.00,16970.00,16430.00,16770.00,91464043550,5453484,411,D,16800.00,16800.00
GhadirIranian.Iron,20220829,17010.00,17300.00,16500.00,16800.00,48657604800,2897076,349,D,17180.00,16620.00
GhadirIranian.Iron,20220828,17190.00,17510.00,16900.00,17180.00,125088832100,7279254,315,D,17360.00,17100.00
GhadirIranian.Iron,20220827,17800.00,17800.00,16940.00,17360.00,54891176010,3161214,227,D,17470.00,17000.00
GhadirIranian.Iron,20220824,17000.00,17880.00,16950.00,17470.00,77941523060,4461109,278,D,17000.00,17350.00
GhadirIranian.Iron,20220823,16700.00,17260.00,16480.00,17000.00,26823911040,1578264,176,D,16650.00,17000.00
GhadirIranian.Iron,20220822,16870.00,16870.00,16500.00,16650.00,8321911110,499705,73,D,16650.00,16570.00
GhadirIranian.Iron,20220821,16750.00,16900.00,16320.00,16650.00,17174362670,1031280,178,D,16880.00,16600.00
GhadirIranian.Iron,20220820,16980.00,17100.00,16800.00,16880.00,15326456680,908211,94,D,16970.00,16830.00
GhadirIranian.Iron,20220817,17070.00,17250.00,16810.00,16970.00,11615606580,684429,119,D,17070.00,17070.00
GhadirIranian.Iron,20220816,17400.00,17450.00,16900.00,17070.00,10777903880,631486,143,D,17400.00,16900.00
GhadirIranian.Iron,20220815,17590.00,17780.00,17110.00,17400.00,8913538270,512419,109,D,17590.00,17150.00
GhadirIranian.Iron,20220814,17970.00,17970.00,17270.00,17590.00,11376012910,646715,105,D,17550.00,17270.00
GhadirIranian.Iron,20220813,17200.00,17980.00,17020.00,17550.00,10452856580,595719,148,D,17180.00,17770.00
GhadirIranian.Iron,20220810,17210.00,17290.00,17020.00,17180.00,9062523550,527612,96,D,17210.00,17220.00
GhadirIranian.Iron,20220809,17170.00,17300.00,16930.00,17210.00,13305084280,772969,192,D,17170.00,17300.00
GhadirIranian.Iron,20220806,17250.00,17450.00,17010.00,17170.00,20481219880,1193173,223,D,17240.00,17270.00
GhadirIranian.Iron,20220803,17560.00,17570.00,17050.00,17240.00,14048489610,814676,207,D,17320.00,17490.00
GhadirIranian.Iron,20220802,17960.00,17960.00,17150.00,17320.00,6544899870,377885,117,D,17370.00,17200.00
GhadirIranian.Iron,20220801,18120.00,18120.00,17160.00,17370.00,6524269840,375562,112,D,17580.00,17600.00
GhadirIranian.Iron,20220731,18290.00,18290.00,17210.00,17580.00,12194488460,693553,195,D,17820.00,17820.00
GhadirIranian.Iron,20220730,18400.00,18400.00,17500.00,17820.00,8793424500,493352,146,D,17990.00,17950.00
GhadirIranian.Iron,20220727,18700.00,18700.00,17700.00,17990.00,5143821080,285850,83,D,18000.00,18190.00
GhadirIranian.Iron,20220726,17460.00,18280.00,17460.00,18000.00,22331750650,1240622,252,D,18090.00,18140.00
GhadirIranian.Iron,20220725,18560.00,18560.00,17600.00,18090.00,18811587300,1040027,223,D,18560.00,17660.00
GhadirIranian.Iron,20220724,18990.00,19000.00,18100.00,18560.00,38376006280,2067561,203,D,18880.00,18370.00
GhadirIranian.Iron,20220723,19100.00,19100.00,18430.00,18880.00,8195361140,434141,111,D,18820.00,18570.00
GhadirIranian.Iron,20220720,18890.00,19000.00,18500.00,18820.00,10485667940,557269,151,D,18620.00,18920.00
GhadirIranian.Iron,20220719,18870.00,18970.00,18400.00,18620.00,7443650190,399709,126,D,18640.00,18400.00
GhadirIranian.Iron,20220717,19000.00,19000.00,18150.00,18640.00,22823512470,1224303,231,D,18790.00,18900.00
GhadirIranian.Iron,20220716,19440.00,19440.00,18230.00,18790.00,21886416760,1165001,174,D,18950.00,18280.00
GhadirIranian.Iron,20220713,18800.00,19060.00,17880.00,18950.00,27344940230,1442814,377,D,17990.00,18950.00
GhadirIranian.Iron,20220712,17660.00,18850.00,17300.00,17990.00,32076749640,1782700,244,D,18120.00,18150.00
GhadirIranian.Iron,20220711,18610.00,18940.00,17710.00,18120.00,27997639820,1545547,248,D,18360.00,17900.00
GhadirIranian.Iron,20220709,18400.00,18590.00,18320.00,18360.00,16874669590,918993,202,D,18700.00,18330.00
GhadirIranian.Iron,20220706,19190.00,19190.00,18560.00,18700.00,33403795380,1786354,242,D,18920.00,19000.00
GhadirIranian.Iron,20220705,18600.00,19220.00,18600.00,18920.00,24596133850,1300157,305,D,18920.00,18990.00
GhadirIranian.Iron,20220704,19000.00,19390.00,18840.00,18920.00,31656562780,1673574,336,D,19230.00,18850.00
GhadirIranian.Iron,20220703,19280.00,19680.00,18800.00,19230.00,127054417460,6607622,345,D,19280.00,19280.00
GhadirIranian.Iron,20220702,20190.00,20190.00,19110.00,19280.00,32842936950,1703691,286,D,19750.00,19120.00
GhadirIranian.Iron,20220629,20000.00,20000.00,19650.00,19750.00,250256667400,12659905,359,D,20050.00,19700.00
GhadirIranian.Iron,20220628,20100.00,20500.00,19950.00,20050.00,55307036200,2759097,253,D,20000.00,19950.00
GhadirIranian.Iron,20220627,20000.00,20500.00,19500.00,20000.00,62873675700,3142776,374,D,20000.00,20500.00
GhadirIranian.Iron,20220626,20000.00,20350.00,19600.00,20000.00,131332868800,6570193,566,D,19950.00,20100.00
GhadirIranian.Iron,20220625,20650.00,20650.00,19450.00,19950.00,117861263700,5910852,493,D,20650.00,19450.00
GhadirIranian.Iron,20220622,20850.00,20850.00,20450.00,20650.00,61821145850,3011648,319,D,20850.00,20450.00
GhadirIranian.Iron,20220621,21350.00,21350.00,20800.00,20850.00,92002707550,4411938,366,D,21150.00,20800.00
