<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kaveh.Company,20221011,5040.00,5130.00,5040.00,5050.00,11638136730,2280626,215,D,5040.00,5120.00
Kaveh.Company,20221010,5050.00,5120.00,5000.00,5040.00,13964961460,2771246,253,D,5040.00,5050.00
Kaveh.Company,20221009,4860.00,5170.00,4830.00,5040.00,39869356090,7880290,860,D,5000.00,5090.00
Kaveh.Company,20221008,4930.00,5030.00,4840.00,5000.00,9439225070,1926134,336,D,5020.00,4910.00
Kaveh.Company,20221004,5100.00,5100.00,4900.00,5020.00,16448398850,3314311,320,D,5040.00,4920.00
Kaveh.Company,20221003,5040.00,5100.00,5020.00,5040.00,12796167290,2541193,172,D,5040.00,5030.00
Kaveh.Company,20221002,4930.00,5150.00,4930.00,5040.00,13568079580,2698778,217,D,5040.00,5030.00
Kaveh.Company,20221001,5040.00,5040.00,4960.00,5040.00,11645292150,2331712,197,D,5050.00,4970.00
Kaveh.Company,20220928,5030.00,5190.00,5030.00,5050.00,7786967780,1533386,197,D,5050.00,5050.00
Kaveh.Company,20220926,4970.00,5130.00,4950.00,5050.00,19236407670,3819510,307,D,5050.00,5120.00
Kaveh.Company,20220924,4960.00,5110.00,4960.00,5050.00,18036647120,3598023,281,D,5070.00,4990.00
Kaveh.Company,20220921,4970.00,5120.00,4970.00,5070.00,14813286140,2943008,241,D,5080.00,5080.00
Kaveh.Company,20220920,5070.00,5090.00,5020.00,5080.00,14331595160,2826042,239,D,5080.00,5070.00
Kaveh.Company,20220919,5050.00,5110.00,4990.00,5080.00,34099757560,6755435,343,D,5120.00,4990.00
Kaveh.Company,20220918,5180.00,5180.00,4990.00,5120.00,12464926510,2464711,281,D,5130.00,5030.00
Kaveh.Company,20220914,5190.00,5200.00,5020.00,5130.00,11480910870,2264386,345,D,5140.00,5060.00
Kaveh.Company,20220913,5210.00,5250.00,5100.00,5140.00,15560694970,3003009,391,D,5130.00,5190.00
Kaveh.Company,20220912,5070.00,5160.00,5030.00,5130.00,24121516990,4727496,400,D,5150.00,5090.00
Kaveh.Company,20220911,5070.00,5250.00,5010.00,5150.00,19653887670,3876130,461,D,5190.00,5020.00
Kaveh.Company,20220910,5080.00,5150.00,5060.00,5190.00,12930353830,2543405,290,D,5220.00,5070.00
Kaveh.Company,20220907,5060.00,5250.00,5060.00,5220.00,23940753280,4624568,298,D,5240.00,5200.00
Kaveh.Company,20220906,5310.00,5310.00,5100.00,5240.00,11079152280,2138263,276,D,5250.00,5180.00
Kaveh.Company,20220905,5250.00,5330.00,5210.00,5250.00,118657045340,22588111,522,D,5290.00,5250.00
Kaveh.Company,20220904,5300.00,5330.00,5220.00,5290.00,24793011800,4698971,305,D,5300.00,5240.00
Kaveh.Company,20220903,5430.00,5430.00,5210.00,5300.00,34055491930,6453737,420,D,5320.00,5300.00
Kaveh.Company,20220831,5260.00,5370.00,5260.00,5320.00,113719225490,21391139,653,D,5310.00,5330.00
Kaveh.Company,20220830,5310.00,5360.00,5260.00,5310.00,11154692660,2105384,202,D,5310.00,5270.00
Kaveh.Company,20220829,5440.00,5440.00,5210.00,5310.00,102707783110,19354661,559,D,5320.00,5350.00
Kaveh.Company,20220828,5260.00,5390.00,5230.00,5320.00,20695204850,3914098,312,D,5330.00,5310.00
Kaveh.Company,20220827,5350.00,5460.00,5280.00,5330.00,32504113410,6082827,585,D,5310.00,5290.00
Kaveh.Company,20220824,5120.00,5410.00,5090.00,5310.00,83817382010,15793418,973,D,5160.00,5410.00
Kaveh.Company,20220823,5150.00,5270.00,5080.00,5160.00,23740009370,4576455,701,D,5140.00,5200.00
Kaveh.Company,20220822,5150.00,5210.00,5050.00,5140.00,29764082580,5814512,423,D,5150.00,5100.00
Kaveh.Company,20220821,5100.00,5270.00,5010.00,5150.00,41435071620,8154917,559,D,5260.00,5150.00
Kaveh.Company,20220820,5360.00,5360.00,5080.00,5260.00,11957120010,2316043,343,D,5280.00,5120.00
Kaveh.Company,20220817,5270.00,5420.00,5130.00,5280.00,49645514950,9458479,650,D,5350.00,5230.00
Kaveh.Company,20220816,5520.00,5520.00,5260.00,5350.00,10174784150,1911621,255,D,5360.00,5280.00
Kaveh.Company,20220815,5170.00,5510.00,5150.00,5360.00,44331085050,8168767,585,D,5250.00,5480.00
Kaveh.Company,20220814,5330.00,5430.00,5150.00,5250.00,32291395060,6173391,410,D,5260.00,5160.00
Kaveh.Company,20220813,5030.00,5280.00,5000.00,5260.00,83917166640,15953457,609,D,5030.00,5280.00
Kaveh.Company,20220810,5100.00,5100.00,5020.00,5030.00,14566335560,2886166,279,D,5030.00,5040.00
Kaveh.Company,20220809,5170.00,5170.00,5030.00,5030.00,11254130190,2219478,260,D,5020.00,5070.00
Kaveh.Company,20220803,5050.00,5200.00,4970.00,5020.00,28800602770,5668731,532,D,4970.00,5120.00
Kaveh.Company,20220802,4910.00,5040.00,4900.00,4970.00,26584760380,5321083,346,D,4950.00,5010.00
Kaveh.Company,20220801,4840.00,5030.00,4840.00,4950.00,23072938230,4638512,432,D,4930.00,5010.00
Kaveh.Company,20220731,5010.00,5010.00,4800.00,4930.00,43595005100,8908034,683,D,5000.00,4970.00
Kaveh.Company,20220730,5020.00,5080.00,4840.00,5000.00,48884286330,9798209,702,D,5020.00,5010.00
Kaveh.Company,20220727,4790.00,5110.00,4790.00,5020.00,42563236150,8482794,787,D,5010.00,5010.00
Kaveh.Company,20220726,5000.00,5130.00,4990.00,5010.00,173934345950,34697975,1290,D,5250.00,5010.00
Kaveh.Company,20220717,5820.00,5910.00,5720.00,5890.00,11000441050,1906083,393,D,5910.00,5730.00
Kaveh.Company,20220716,5790.00,6050.00,5790.00,5910.00,31305997720,5324857,381,D,5930.00,5900.00
Kaveh.Company,20220713,5990.00,6040.00,5900.00,5930.00,30666300390,5116726,446,D,5890.00,6020.00
Kaveh.Company,20220712,5800.00,5990.00,5770.00,5890.00,16449522240,2782790,324,D,5890.00,5970.00
Kaveh.Company,20220711,5900.00,5950.00,5820.00,5890.00,25868561520,4388236,337,D,5890.00,5860.00
Kaveh.Company,20220709,5680.00,5940.00,5680.00,5890.00,29495440260,5001058,374,D,5880.00,5920.00
Kaveh.Company,20220706,6000.00,6000.00,5780.00,5880.00,5139285640,882967,216,D,5880.00,5800.00
Kaveh.Company,20220705,5980.00,6000.00,5820.00,5880.00,17279878100,2915061,331,D,5870.00,5990.00
Kaveh.Company,20220704,5810.00,6000.00,5810.00,5870.00,9872915620,1672907,216,D,5870.00,5850.00
Kaveh.Company,20220703,5750.00,6010.00,5750.00,5870.00,35904639830,6053921,430,D,5820.00,5910.00
Kaveh.Company,20220702,5680.00,5940.00,5680.00,5820.00,40590594210,6981583,468,D,5820.00,5870.00
Kaveh.Company,20220629,5670.00,5900.00,5670.00,5820.00,26239737670,4503747,268,D,5820.00,5870.00
Kaveh.Company,20220628,5820.00,5920.00,5780.00,5820.00,32346029530,5547022,473,D,5820.00,5910.00
Kaveh.Company,20220627,5670.00,5840.00,5670.00,5820.00,24188854800,4162368,429,D,5820.00,5830.00
Kaveh.Company,20220626,5800.00,5870.00,5650.00,5820.00,36529566340,6296857,520,D,5830.00,5760.00
Kaveh.Company,20220625,5830.00,5870.00,5650.00,5830.00,29678304570,5157706,557,D,5880.00,5850.00
Kaveh.Company,20220622,5920.00,5990.00,5780.00,5880.00,110912234250,18865370,685,D,5880.00,5940.00
Kaveh.Company,20220621,5980.00,5980.00,5740.00,5880.00,24501688440,4163375,618,D,5880.00,5920.00
Kaveh.Company,20220606,12990.00,12990.00,12110.00,12540.00,79768356880,6361234,1343,D,12660.00,12600.00
Kaveh.Company,20220601,12620.00,12840.00,12610.00,12660.00,38300724560,3018976,578,D,12630.00,12720.00
Kaveh.Company,20220531,12540.00,12890.00,12470.00,12630.00,56849074130,4500906,669,D,12610.00,12550.00
Kaveh.Company,20220530,12790.00,12790.00,12550.00,12610.00,43139415350,3420514,784,D,12610.00,12560.00
Kaveh.Company,20220529,12500.00,12750.00,12170.00,12610.00,159139735960,12621685,1028,D,12700.00,12600.00
Kaveh.Company,20220528,12850.00,12850.00,12510.00,12700.00,66167343090,5219036,874,D,12850.00,12700.00
Kaveh.Company,20220525,12630.00,12990.00,12630.00,12850.00,47646410400,3716584,799,D,12900.00,12850.00
Kaveh.Company,20220524,12600.00,13040.00,12560.00,12900.00,63329350690,4917477,966,D,12990.00,12890.00
Kaveh.Company,20220523,13000.00,13300.00,12600.00,12990.00,51563416430,4000845,977,D,13200.00,12770.00
Kaveh.Company,20220522,12990.00,13350.00,12900.00,13200.00,67610789340,5127994,884,D,13260.00,13260.00
Kaveh.Company,20220521,13200.00,13390.00,12870.00,13260.00,59877765440,4530999,812,D,13380.00,13010.00
Kaveh.Company,20220518,13510.00,13520.00,13070.00,13380.00,55207037240,4150966,1135,D,13570.00,13230.00
Kaveh.Company,20220517,13650.00,13680.00,13410.00,13570.00,205249687040,15123585,2518,D,13030.00,13510.00
Kaveh.Company,20220516,12870.00,13070.00,12790.00,13030.00,170042299720,13050646,1773,D,12450.00,13070.00
Kaveh.Company,20220515,12470.00,12760.00,12290.00,12450.00,96729926160,7770159,1528,D,12430.00,12740.00
Kaveh.Company,20220514,12650.00,12650.00,12250.00,12430.00,60968061410,4909266,1283,D,12470.00,12370.00
Kaveh.Company,20220511,12490.00,12790.00,12310.00,12470.00,59470169520,4760309,1314,D,12390.00,12410.00
Kaveh.Company,20220510,12010.00,12440.00,12010.00,12390.00,37047223380,3025663,988,D,12540.00,12220.00
Kaveh.Company,20220509,12940.00,12940.00,12240.00,12540.00,50793484750,4082523,1003,D,12750.00,12270.00
Kaveh.Company,20220508,12940.00,12940.00,12540.00,12750.00,52153267260,4101767,1311,D,12820.00,12920.00
Kaveh.Company,20220507,13000.00,13260.00,12550.00,12820.00,85977790790,6705085,1482,D,12900.00,12720.00
Kaveh.Company,20220502,13190.00,13190.00,12860.00,12900.00,59947856910,4623291,939,D,12680.00,12970.00
Kaveh.Company,20220501,12340.00,12950.00,12160.00,12680.00,121249540960,9560266,1881,D,12340.00,12830.00
Kaveh.Company,20220430,12370.00,12440.00,12200.00,12340.00,83378261020,6756584,1331,D,12070.00,12330.00
