<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Melal.Credit.Inst.,20221011,2298.00,2298.00,2298.00,2255.00,11215129326,4880387,193,D,2189.00,2298.00
Melal.Credit.Inst.,20221010,2232.00,2235.00,2179.00,2189.00,10490195266,4701696,230,D,2129.00,2235.00
Melal.Credit.Inst.,20221009,2128.00,2200.00,2062.00,2129.00,11269981486,5293370,495,D,2128.00,2189.00
Melal.Credit.Inst.,20221008,2159.00,2187.00,2080.00,2128.00,19832258044,9321161,557,D,2159.00,2130.00
Melal.Credit.Inst.,20221004,2250.00,2250.00,2138.00,2159.00,28188967168,13057444,650,D,2250.00,2160.00
Melal.Credit.Inst.,20221003,2283.00,2284.00,2200.00,2250.00,10101115306,4540762,335,D,2283.00,2242.00
Melal.Credit.Inst.,20221002,2295.00,2295.00,2220.00,2283.00,7174207194,3179677,317,D,2301.00,2252.00
Melal.Credit.Inst.,20221001,2370.00,2390.00,2252.00,2301.00,14835210404,6493676,410,D,2370.00,2253.00
Melal.Credit.Inst.,20220928,2348.00,2410.00,2301.00,2370.00,18099661108,7635783,459,D,2357.00,2360.00
Melal.Credit.Inst.,20220926,2265.00,2378.00,2265.00,2357.00,38109855955,16168304,765,D,2265.00,2345.00
Melal.Credit.Inst.,20220924,2313.00,2313.00,2200.00,2265.00,13274518325,5906280,549,D,2313.00,2258.00
Melal.Credit.Inst.,20220921,2311.00,2360.00,2191.00,2313.00,17025570929,7359886,482,D,2304.00,2300.00
Melal.Credit.Inst.,20220920,2389.00,2395.00,2253.00,2304.00,44702362580,19399301,1089,D,2371.00,2344.00
Melal.Credit.Inst.,20220919,2362.00,2475.00,2358.00,2371.00,49878918467,21038867,1181,D,2482.00,2398.00
Melal.Credit.Inst.,20220918,2599.00,2599.00,2472.00,2482.00,32760467227,13200306,820,D,2602.00,2472.00
Melal.Credit.Inst.,20220914,2641.00,2641.00,2550.00,2602.00,16253020037,6268110,555,D,2636.00,2570.00
Melal.Credit.Inst.,20220913,2677.00,2700.00,2607.00,2636.00,16592632239,6291691,603,D,2630.00,2671.00
Melal.Credit.Inst.,20220912,2657.00,2686.00,2580.00,2630.00,19594500953,7457238,597,D,2657.00,2677.00
Melal.Credit.Inst.,20220911,2709.00,2709.00,2595.00,2657.00,15513314082,5880943,649,D,2709.00,2650.00
Melal.Credit.Inst.,20220910,2810.00,2810.00,2698.00,2709.00,40477656196,14939479,793,D,2839.00,2698.00
Melal.Credit.Inst.,20220907,2880.00,2940.00,2773.00,2839.00,53683802623,18912245,1374,D,2839.00,2797.00
Melal.Credit.Inst.,20220906,2762.00,2887.00,2750.00,2839.00,102341646757,36050464,2065,D,2750.00,2882.00
Melal.Credit.Inst.,20220905,2633.00,2762.00,2633.00,2750.00,101732118944,36990769,1278,D,2631.00,2762.00
Melal.Credit.Inst.,20220904,2683.00,2683.00,2600.00,2631.00,20860127521,7931163,659,D,2683.00,2633.00
Melal.Credit.Inst.,20220903,2809.00,2809.00,2622.00,2683.00,21650822273,8069651,686,D,2758.00,2654.00
Melal.Credit.Inst.,20220831,2788.00,2795.00,2711.00,2758.00,28266982630,10250882,667,D,2788.00,2779.00
Melal.Credit.Inst.,20220830,2820.00,2830.00,2760.00,2788.00,45259760818,16236313,1223,D,2739.00,2763.00
Melal.Credit.Inst.,20220829,2730.00,2800.00,2682.00,2739.00,88858924987,32437763,1729,D,2683.00,2791.00
Melal.Credit.Inst.,20220828,2735.00,2735.00,2642.00,2683.00,23518544976,8764889,653,D,2749.00,2686.00
Melal.Credit.Inst.,20220827,2800.00,2828.00,2655.00,2749.00,53719352797,19542291,1273,D,2793.00,2700.00
Melal.Credit.Inst.,20220824,2819.00,2820.00,2707.00,2793.00,24426931417,8744466,601,D,2819.00,2793.00
Melal.Credit.Inst.,20220823,2833.00,2850.00,2790.00,2819.00,18096587739,6426286,442,D,2833.00,2833.00
Melal.Credit.Inst.,20220822,2839.00,2860.00,2770.00,2833.00,7985332405,2832014,321,D,2840.00,2820.00
Melal.Credit.Inst.,20220821,2859.00,2860.00,2789.00,2840.00,10068962800,3576942,396,D,2860.00,2810.00
Melal.Credit.Inst.,20220820,2885.00,2900.00,2798.00,2860.00,9621562045,3403682,470,D,2885.00,2810.00
Melal.Credit.Inst.,20220817,2890.00,2949.00,2771.00,2885.00,6341641329,2201610,261,D,2887.00,2872.00
Melal.Credit.Inst.,20220816,2881.00,2960.00,2870.00,2887.00,8210616014,2831533,293,D,2880.00,2883.00
Melal.Credit.Inst.,20220815,2922.00,2945.00,2780.00,2880.00,16644704016,5811434,521,D,2922.00,2860.00
Melal.Credit.Inst.,20220814,2990.00,2990.00,2840.00,2922.00,15701155345,5395104,509,D,2947.00,2940.00
Melal.Credit.Inst.,20220813,2933.00,2990.00,2933.00,2947.00,12601250989,4257217,289,D,2933.00,2951.00
Melal.Credit.Inst.,20220810,2931.00,2998.00,2886.00,2933.00,7919920364,2697753,285,D,2931.00,2892.00
Melal.Credit.Inst.,20220809,2952.00,2970.00,2875.00,2931.00,36291476240,12381425,655,D,2952.00,2969.00
Melal.Credit.Inst.,20220806,2980.00,3026.00,2901.00,2952.00,25422697639,8611002,462,D,2913.00,2950.00
Melal.Credit.Inst.,20220803,2970.00,3050.00,2831.00,2913.00,47746137322,16390246,1135,D,2980.00,3017.00
Melal.Credit.Inst.,20220802,3000.00,3000.00,2853.00,2980.00,6134310659,2098059,314,D,3000.00,2910.00
Melal.Credit.Inst.,20220801,3151.00,3151.00,2995.00,3000.00,47747942665,15915340,498,D,3152.00,2995.00
Melal.Credit.Inst.,20220731,3163.00,3163.00,3024.00,3152.00,5351218029,1720315,278,D,3163.00,3080.00
Melal.Credit.Inst.,20220730,3174.00,3178.00,3017.00,3163.00,5058184566,1620598,246,D,3174.00,3100.00
Melal.Credit.Inst.,20220727,3299.00,3299.00,3135.00,3174.00,20721547241,6584286,348,D,3299.00,3135.00
Melal.Credit.Inst.,20220726,3461.00,3461.00,3288.00,3299.00,26771537080,8115321,395,D,3461.00,3288.00
Melal.Credit.Inst.,20220725,3502.00,3502.00,3333.00,3461.00,8063783549,2405217,268,D,3508.00,3333.00
Melal.Credit.Inst.,20220724,3522.00,3524.00,3362.00,3508.00,7987553520,2300576,277,D,3522.00,3456.00
Melal.Credit.Inst.,20220723,3521.00,3638.00,3420.00,3522.00,15226104159,4322987,474,D,3521.00,3517.00
Melal.Credit.Inst.,20220720,3560.00,3560.00,3410.00,3521.00,5110825467,1460973,150,D,3526.00,3450.00
Melal.Credit.Inst.,20220717,3440.00,3547.00,3418.00,3526.00,16128483011,4641853,434,D,3597.00,3444.00
Melal.Credit.Inst.,20220716,3696.00,3696.00,3451.00,3597.00,5539246053,1564245,176,D,3611.00,3480.00
Melal.Credit.Inst.,20220713,3600.00,3631.00,3569.00,3611.00,4873894838,1352813,206,D,3613.00,3600.00
Melal.Credit.Inst.,20220712,3620.00,3680.00,3500.00,3613.00,3331585205,936787,129,D,3620.00,3560.00
Melal.Credit.Inst.,20220704,6200.00,6320.00,6150.00,6240.00,20443500500,3278540,386,D,6270.00,6200.00
Melal.Credit.Inst.,20220703,6300.00,6300.00,6000.00,6270.00,13813616620,2216743,315,D,6310.00,6250.00
Melal.Credit.Inst.,20220702,6280.00,6320.00,6100.00,6310.00,8094820710,1308454,234,D,6370.00,6200.00
Melal.Credit.Inst.,20220629,6190.00,6490.00,6120.00,6370.00,41081997290,6445895,665,D,6190.00,6270.00
Melal.Credit.Inst.,20220628,6350.00,6350.00,6170.00,6190.00,11255581290,1788602,213,D,6100.00,6280.00
Melal.Credit.Inst.,20220627,6090.00,6300.00,5850.00,6100.00,53285713820,8741202,518,D,6100.00,6230.00
Melal.Credit.Inst.,20220626,6300.00,6310.00,5980.00,6100.00,27837733790,4567061,502,D,6290.00,5980.00
Melal.Credit.Inst.,20220625,6380.00,6400.00,6100.00,6290.00,25046437560,3980031,521,D,6380.00,6150.00
Melal.Credit.Inst.,20220622,6440.00,6500.00,6140.00,6380.00,11445246170,1812093,337,D,6440.00,6350.00
Melal.Credit.Inst.,20220621,6470.00,6570.00,6200.00,6440.00,12041419170,1880410,395,D,6470.00,6450.00
Melal.Credit.Inst.,20220620,6470.00,6540.00,6400.00,6470.00,9586079220,1479500,258,D,6470.00,6450.00
Melal.Credit.Inst.,20220619,6470.00,6540.00,6440.00,6470.00,9782867190,1509875,269,D,6470.00,6470.00
