<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sabzevar.Steel,20221011,23950.00,24490.00,23950.00,24530.00,7194021550,298363,703,D,24630.00,24100.00
Sabzevar.Steel,20221010,24700.00,24700.00,24010.00,24630.00,11021868440,454224,705,D,24770.00,24090.00
Sabzevar.Steel,20221009,24400.00,24750.00,24090.00,24770.00,19088364380,789803,811,D,25350.00,24110.00
Sabzevar.Steel,20221008,24520.00,24900.00,24410.00,25350.00,6196929380,252684,654,D,25510.00,24500.00
Sabzevar.Steel,20221004,24820.00,24920.00,24490.00,25510.00,8556147300,347923,649,D,25770.00,24860.00
Sabzevar.Steel,20221003,25060.00,25710.00,24780.00,25770.00,11377390040,455316,756,D,26080.00,24820.00
Sabzevar.Steel,20221002,25200.00,25760.00,25030.00,26080.00,8771377300,349022,764,D,26340.00,25060.00
Sabzevar.Steel,20221001,25850.00,26390.00,25260.00,26340.00,7027835770,276007,849,D,26520.00,25280.00
Sabzevar.Steel,20220928,25810.00,26440.00,25550.00,26520.00,9543909300,365655,784,D,26650.00,26010.00
Sabzevar.Steel,20220926,25500.00,26750.00,25430.00,26650.00,7171433290,274552,735,D,26760.00,25870.00
Sabzevar.Steel,20220924,26490.00,26990.00,25710.00,26760.00,12458082700,478361,773,D,27060.00,25730.00
Sabzevar.Steel,20220921,27110.00,27200.00,26500.00,27060.00,26398914020,993947,863,D,27890.00,26500.00
Sabzevar.Steel,20220920,26860.00,27940.00,26860.00,27890.00,13309702180,487809,886,D,28150.00,27230.00
Sabzevar.Steel,20220914,28290.00,28800.00,27120.00,28150.00,105456277600,3745996,2400,D,27590.00,27550.00
Sabzevar.Steel,20220913,27470.00,27470.00,27120.00,27590.00,18533985200,679927,853,D,27830.00,27280.00
Sabzevar.Steel,20220912,28100.00,28100.00,26360.00,27830.00,110908945660,3985079,1227,D,26880.00,27250.00
Sabzevar.Steel,20220911,26500.00,27000.00,26220.00,26880.00,20258150680,761240,1130,D,27120.00,26620.00
Sabzevar.Steel,20220910,27590.00,27590.00,25910.00,27120.00,89259536650,3291097,1163,D,26570.00,26500.00
Sabzevar.Steel,20220907,26050.00,26260.00,25910.00,26570.00,11397373850,438421,940,D,26790.00,26200.00
Sabzevar.Steel,20220906,27200.00,27200.00,25810.00,26790.00,86627304740,3233310,1194,D,26180.00,26230.00
Sabzevar.Steel,20220905,25410.00,26390.00,25410.00,26180.00,16997313010,653760,908,D,26310.00,25760.00
Sabzevar.Steel,20220904,26900.00,26900.00,25650.00,26310.00,22145282550,836070,1057,D,26120.00,25870.00
Sabzevar.Steel,20220903,25650.00,26000.00,25520.00,26120.00,18993667630,741095,816,D,26550.00,25870.00
Sabzevar.Steel,20220831,27500.00,27500.00,25730.00,26550.00,68591234670,2583252,1558,D,26350.00,25840.00
Sabzevar.Steel,20220830,27200.00,27200.00,25800.00,26350.00,25319885540,951079,779,D,25940.00,26000.00
Sabzevar.Steel,20220829,25670.00,26020.00,25500.00,25940.00,9867581540,384893,825,D,26030.00,25700.00
Sabzevar.Steel,20220828,25610.00,27300.00,25560.00,26030.00,11662804850,448599,812,D,26040.00,25670.00
Sabzevar.Steel,20220827,25860.00,26140.00,25590.00,26040.00,13566735670,525337,1039,D,26150.00,25720.00
Sabzevar.Steel,20220824,26210.00,26240.00,25630.00,26150.00,23901484380,920687,1172,D,26410.00,25950.00
Sabzevar.Steel,20220823,26990.00,27200.00,25910.00,26410.00,32719271030,1233387,1026,D,26010.00,26290.00
Sabzevar.Steel,20220822,25250.00,26070.00,25250.00,26010.00,7287159280,283877,843,D,26080.00,25380.00
