<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sepid.Farab.Kavir,20221011,2370.00,2374.00,2304.00,2371.00,10792367880,4623718,377,D,2388.00,2359.00
Sepid.Farab.Kavir,20221010,2340.00,2399.00,2292.00,2388.00,10111159441,4327285,419,D,2409.00,2347.00
Sepid.Farab.Kavir,20221009,2325.00,2370.00,2308.00,2409.00,6446203986,2774078,289,D,2429.00,2320.00
Sepid.Farab.Kavir,20221008,2456.00,2456.00,2374.00,2429.00,5413621178,2258678,334,D,2435.00,2379.00
Sepid.Farab.Kavir,20221004,2455.00,2527.00,2390.00,2435.00,6801740547,2787056,349,D,2434.00,2414.00
Sepid.Farab.Kavir,20221003,2542.00,2542.00,2360.00,2434.00,16795687821,6859690,501,D,2421.00,2540.00
Sepid.Farab.Kavir,20220919,3541.00,3640.00,3537.00,3632.00,21829645972,6093200,594,D,3709.00,3565.00
Sepid.Farab.Kavir,20220918,3720.00,3768.00,3544.00,3709.00,9047519015,2464969,375,D,3722.00,3610.00
Sepid.Farab.Kavir,20220914,3650.00,3779.00,3650.00,3722.00,6896529679,1856080,191,D,3724.00,3687.00
Sepid.Farab.Kavir,20220913,3744.00,3770.00,3650.00,3724.00,18432955773,4965990,246,D,3737.00,3729.00
Sepid.Farab.Kavir,20220912,3651.00,3746.00,3651.00,3737.00,7255077596,1958962,310,D,3745.00,3720.00
Sepid.Farab.Kavir,20220911,3717.00,3782.00,3674.00,3745.00,15753772766,4254394,432,D,3776.00,3680.00
Sepid.Farab.Kavir,20220910,3824.00,3826.00,3727.00,3776.00,15208203893,4039365,309,D,3783.00,3782.00
Sepid.Farab.Kavir,20220907,3750.00,3800.00,3725.00,3783.00,16545831308,4407564,456,D,3807.00,3760.00
Sepid.Farab.Kavir,20220906,3912.00,3912.00,3700.00,3807.00,22152785738,5886960,482,D,3871.00,3767.00
