<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sirjan.Jahan.Steel,20221011,2767.00,2840.00,2657.00,2758.00,22064825926,8026619,1298,D,2762.00,2763.00
Sirjan.Jahan.Steel,20221010,2850.00,2850.00,2614.00,2762.00,61563777243,22232048,2425,D,2720.00,2824.00
Sirjan.Jahan.Steel,20221009,2601.00,2788.00,2581.00,2720.00,97266131706,35762590,3505,D,2606.00,2788.00
Sirjan.Jahan.Steel,20221008,2521.00,2598.00,2515.00,2606.00,12598247322,4972242,861,D,2623.00,2517.00
Sirjan.Jahan.Steel,20221004,2579.00,2589.00,2518.00,2623.00,5007784927,1973496,681,D,2630.00,2578.00
Sirjan.Jahan.Steel,20221003,2553.00,2594.00,2525.00,2630.00,6489652483,2553382,776,D,2640.00,2532.00
Sirjan.Jahan.Steel,20221002,2635.00,2635.00,2550.00,2640.00,7788008361,3041891,789,D,2651.00,2560.00
Sirjan.Jahan.Steel,20221001,2653.00,2679.00,2553.00,2651.00,10332199194,3992930,864,D,2663.00,2584.00
Sirjan.Jahan.Steel,20220928,2550.00,2744.00,2550.00,2663.00,21039088865,7837802,1430,D,2654.00,2679.00
Sirjan.Jahan.Steel,20220926,2521.00,2629.00,2516.00,2654.00,7662590644,2968878,834,D,2663.00,2577.00
Sirjan.Jahan.Steel,20220924,2552.00,2598.00,2521.00,2663.00,9161471854,3613142,870,D,2683.00,2533.00
Sirjan.Jahan.Steel,20220921,2570.00,2624.00,2560.00,2683.00,6173776338,2395176,647,D,2694.00,2600.00
Sirjan.Jahan.Steel,20220920,2610.00,2658.00,2589.00,2694.00,7467095787,2864201,800,D,2705.00,2600.00
Sirjan.Jahan.Steel,20220919,2659.00,2663.00,2600.00,2705.00,8207158169,3125448,845,D,2716.00,2640.00
Sirjan.Jahan.Steel,20220918,2668.00,2696.00,2601.00,2716.00,9992726919,3797655,1048,D,2731.00,2623.00
Sirjan.Jahan.Steel,20220914,2665.00,2730.00,2665.00,2731.00,6690549969,2498215,830,D,2737.00,2673.00
Sirjan.Jahan.Steel,20220913,2662.00,2746.00,2662.00,2737.00,10969905958,4065481,932,D,2744.00,2712.00
Sirjan.Jahan.Steel,20220912,2655.00,2710.00,2650.00,2744.00,11080072707,4134808,1023,D,2756.00,2690.00
Sirjan.Jahan.Steel,20220911,2760.00,2760.00,2657.00,2756.00,7079334673,2640515,879,D,2765.00,2685.00
Sirjan.Jahan.Steel,20220910,2745.00,2750.00,2685.00,2765.00,9275444248,3420998,1015,D,2773.00,2696.00
